price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,direction,street_in_front_of_house,width,city,district
6.5,55.0,3.0,4.0,True,True,True,True,Nhà mặt tiền,None,5.0,4.8,Hồ Chí Minh,Nội thành
5.6,65.0,3.0,4.0,True,True,True,True,Nhà mặt tiền,None,10.0,4.3,Hồ Chí Minh,Ngoại thành
1.15,76.0,1.0,3.0,True,True,False,False,Nhà trong hẻm,None,6.0,5.0,Hồ Chí Minh,Ngoại thành
7.15,60.0,3.0,4.0,True,True,True,True,Nhà mặt tiền,None,7.0,5.0,Hồ Chí Minh,Ngoại thành
6.54,57.0,4.0,4.0,True,True,True,True,Nhà trong hẻm,Đông Nam,5.0,4.7,Hồ Chí Minh,Nội thành
5.98,50.0,5.0,4.0,True,True,True,False,Nhà mặt tiền,None,3.5,5.0,Hà Nội,Ngoại thành
13.4,83.0,3.0,4.0,True,True,False,True,Nhà trong hẻm,None,6.0,5.5,Hồ Chí Minh,Nội thành
3.7,123.0,2.0,2.0,True,True,True,True,Nhà trong hẻm,None,4.0,6.0,Hồ Chí Minh,Nội thành
5.6,45.0,4.0,4.0,True,True,False,True,Nhà mặt tiền,None,3.0,4.447257932086094,Hà Nội,Ngoại thành
3.3,30.0,5.0,3.0,False,False,False,False,Nhà trong hẻm,None,2.0,4.0,Hà Nội,Nội thành
4.4,50.0,5.0,3.0,True,True,True,False,Nhà trong hẻm,None,3.0,5.0,Hà Nội,Nội thành
4.8,55.0,4.0,4.0,True,True,True,False,Nhà trong hẻm,None,3.5,4.0,Hà Nội,Nội thành
2.5,35.0,5.0,3.0,True,True,True,False,Nhà trong hẻm,None,3.0,4.447257932086094,Hà Nội,Ngoại thành
9.6,80.0,3.0,3.0,True,True,True,True,Nhà trong hẻm,None,5.0,4.8,Hồ Chí Minh,Nội thành
7.2,38.0,4.0,5.0,True,True,True,True,Nhà mặt tiền,None,6.0,3.8,Hồ Chí Minh,Nội thành
3.25,32.0,3.0,2.0,False,False,False,False,Nhà trong hẻm,None,6.0,4.0,Hà Nội,Nội thành
2.65,58.0,4.0,4.0,False,False,False,False,Nhà trong hẻm,None,5.0,4.6,Hà Nội,Ngoại thành
9.0,45.0,7.0,4.0,True,True,True,True,Nhà mặt tiền,None,8.0,5.0,Hà Nội,Nội thành
3.8,43.0,4.0,3.0,True,True,True,True,Nhà trong hẻm,None,6.0,4.3,Hà Nội,Nội thành
12.8,55.0,5.0,6.0,True,True,True,True,Nhà trong hẻm,None,8.0,4.0,Hồ Chí Minh,Nội thành
4.3,40.0,5.0,3.0,False,False,False,False,Nhà mặt tiền,None,5.0,5.0,Hà Nội,Nội thành
11.0,88.0,1.0,6.0,True,True,True,True,Nhà trong hẻm,None,6.0,5.2,Hồ Chí Minh,Nội thành
1.0,100.0,1.0,4.0,True,True,True,True,Nhà mặt tiền,None,10.0,5.0,Hồ Chí Minh,Ngoại thành
9.0,60.0,3.0,3.0,True,True,True,True,Nhà trong hẻm,None,6.0,4.0,Hồ Chí Minh,Nội thành
1.1,100.0,2.0,3.0,False,False,False,False,Nhà mặt tiền,None,12.0,5.0,Hồ Chí Minh,Ngoại thành
6.58,60.0,2.0,3.0,True,True,True,True,Nhà mặt tiền,None,10.0,3.7,Hồ Chí Minh,Nội thành
4.6,54.0,3.0,3.0,False,False,False,False,Nhà trong hẻm,None,3.0,4.447257932086094,Hà Nội,Nội thành
12.5,66.0,1.0,3.0,False,False,False,False,Nhà trong hẻm,None,4.5,4.0,Hồ Chí Minh,Nội thành
3.15,95.0,3.0,5.0,True,True,True,True,Nhà mặt tiền,None,12.0,5.0,Hồ Chí Minh,Nội thành
3.15,95.0,2.0,5.0,False,False,False,False,Nhà mặt tiền,None,10.0,5.0,Hồ Chí Minh,Nội thành
4.25,34.0,5.0,3.0,True,True,True,True,Nhà trong hẻm,None,4.0,5.0,Hà Nội,Nội thành
8.0,120.0,1.0,4.0,False,False,False,False,Nhà trong hẻm,Đông,5.0,6.0,Hồ Chí Minh,Nội thành
2.56,40.0,3.0,4.0,False,False,False,False,Nhà trong hẻm,None,6.0,4.0,Hồ Chí Minh,Ngoại thành
2.83,65.0,1.0,3.0,False,False,False,False,Nhà trong hẻm,None,6.0,5.0,Hồ Chí Minh,Ngoại thành
3.9,32.0,5.0,5.0,True,True,True,True,Nhà mặt tiền,Đông Nam,12.0,3.0,Hà Nội,Nội thành
1.95,84.0,1.0,2.0,False,False,False,True,Nhà mặt tiền,None,4.0,4.2,Hồ Chí Minh,Nội thành
6.6,35.0,4.0,4.0,True,True,True,True,Nhà trong hẻm,None,6.0,3.5,Hồ Chí Minh,Nội thành
12.3,120.0,4.0,4.0,True,True,True,True,Nhà trong hẻm,Tây,8.0,5.0,Hồ Chí Minh,Nội thành
4.0,30.0,5.0,4.0,True,True,True,True,Nhà mặt tiền,Tây Nam,3.0,3.0,Hà Nội,Nội thành
5.05,68.0,3.0,4.0,True,True,True,True,Nhà trong hẻm,None,5.0,6.6,Hồ Chí Minh,Ngoại thành
3.45,78.0,2.0,4.0,True,True,True,True,Nhà mặt tiền,None,6.0,5.0,Hồ Chí Minh,Nội thành
13.0,68.0,8.0,4.0,True,True,True,True,Nhà trong hẻm,None,8.0,4.447257932086094,Hà Nội,Nội thành
8.4,59.0,5.0,7.0,True,True,True,True,Nhà trong hẻm,None,6.0,5.0,Hà Nội,Nội thành
4.2,90.0,2.0,4.0,True,True,True,True,Nhà mặt tiền,None,8.0,5.0,Hồ Chí Minh,Nội thành
6.8,110.0,3.0,3.0,True,True,True,False,Nhà trong hẻm,None,5.0,4.0,Hồ Chí Minh,Nội thành
3.7,60.0,1.0,3.0,False,False,False,False,Nhà trong hẻm,None,4.0,4.0,Hồ Chí Minh,Nội thành
6.0,55.0,5.0,4.0,True,True,True,True,Nhà trong hẻm,None,4.0,4.5,Hà Nội,Nội thành
6.0,80.0,1.0,7.0,True,True,True,False,Nhà trong hẻm,Tây Nam,3.5,5.5,Hồ Chí Minh,Nội thành
4.42,43.0,3.0,3.0,True,True,True,False,Nhà trong hẻm,Tây Nam,3.0,6.0,Hồ Chí Minh,Nội thành
7.1,96.0,4.0,4.0,True,True,True,True,Nhà trong hẻm,None,5.0,4.0,Hồ Chí Minh,Nội thành
4.6,54.0,3.0,3.0,False,False,False,False,Nhà trong hẻm,None,3.0,4.447257932086094,Hà Nội,Nội thành
9.0,45.0,7.0,4.0,True,True,True,True,Nhà trong hẻm,None,8.0,5.0,Hà Nội,Nội thành
9.55,47.0,6.0,4.0,False,False,False,False,Nhà trong hẻm,None,6.0,4.447257932086094,Hồ Chí Minh,Nội thành
3.4,75.0,4.0,4.0,True,True,True,True,Nhà mặt tiền,None,2.5,4.447257932086094,Hà Nội,Ngoại thành
5.55,55.0,5.0,4.0,False,False,False,False,Nhà trong hẻm,None,15.0,4.5,Hà Nội,Ngoại thành
2.65,35.0,4.0,4.0,True,True,True,True,Nhà trong hẻm,None,3.0,4.0,Hà Nội,Nội thành
3.2,63.0,3.0,3.0,True,True,True,False,Nhà mặt tiền,None,10.0,4.5,Hồ Chí Minh,Nội thành
3.35,77.0,3.0,4.0,True,True,True,False,Nhà mặt tiền,None,10.0,4.5,Hồ Chí Minh,Nội thành
1.96,36.0,3.0,3.0,True,True,True,True,Nhà trong hẻm,None,6.0,4.0,Hồ Chí Minh,Ngoại thành
